ID_1,RA_1,Dec,period,ID_2,Type,Subtype,Ra_degrees,Dec_Degrees,RA_2,Decl,I,V,V_I,P_1,T0_1,A_1,A_2,Separation
b346_604_19756,264.14981502,-30.59383708,0.29089,OGLE-BLG-ECL-043483,ECL,NC,264.1497916666667,-30.59383333333333,17:36:35.95,-30:35:37.8,17.08,-99.99,-99.99,0.5817746,7000.0035,0.539,0.242,0.073615113668493
b346_604_49550,264.1808703,-30.68326151,0.924291,OGLE-BLG-ECL-043888,ECL,NC,264.18083333333334,-30.68327777777778,17:36:43.40,-30:40:59.8,14.79,-99.99,-99.99,1.8485334,7000.8756,0.483,0.425,0.12856247470197604
b346_604_57523,264.27032319,-30.60185085,0.250255,OGLE-BLG-ECL-045356,ECL,NC,264.27029166666665,-30.601888888888887,17:37:04.87,-30:36:06.8,16.83,-99.99,-99.99,0.500497,7000.1362,0.208,0.179,0.16820720924949795
b346_606_20186,263.8463234,-29.96836562,0.553826,OGLE-BLG-RRLYR-21829,RRLyr,RRab,263.84633333333335,-29.968388888888892,17:35:23.12,-29:58:06.2,17.848,20.995,3.147,0.5538294,7000.53786,0.527,-99.99,0.08931277655247959
b346_606_87815,264.00167653,-30.00138328,0.38156,OGLE-BLG-ECL-040919,ECL,NC,264.00166666666667,-30.001388888888894,17:36:00.40,-30:00:05.0,18.25,21.891,3.641,0.7631214,7000.2239,0.319,0.267,0.03678728037957599
b346_606_74828,263.95587796,-30.01476826,0.556616,OGLE-BLG-RRLYR-22147,RRLyr,RRab,263.955875,-30.014777777777777,17:35:49.41,-30:00:53.2,18.124,21.628,3.504,0.5566218,7000.21446,0.654,-99.99,0.03548463172227251
b346_606_21873,263.83052724,-29.99556366,5.951672,OGLE-BLG-ECL-038063,ECL,NC,263.83054166666665,-29.995583333333332,17:35:19.33,-29:59:44.1,18.169,21.707,3.538,11.9042928,7010.0676,0.817,0.349,0.08390012226301646
b346_606_33071,263.83596582,-30.02762072,0.539441,OGLE-BLG-RRLYR-21814,RRLyr,RRab,263.83595833333334,-30.027638888888884,17:35:20.63,-30:01:39.5,18.039,21.188,3.149,0.5394512,7000.14568,0.686,-99.99,0.06944573951607542
b346_606_79732,263.98157181,-29.9980661,0.456477,OGLE-BLG-RRLYR-22210,RRLyr,RRab,263.98154166666666,-29.998083333333334,17:35:55.57,-29:59:53.1,18.301,21.647,3.346,0.4564812,7000.30756,0.754,-99.99,0.11261037232882073
b346_606_85089,263.93419481,-30.08248723,0.351512,OGLE-BLG-ECL-039846,ECL,NC,263.93416666666667,-30.0825,17:35:44.20,-30:04:57.0,17.177,20.065,2.888,0.7030221,7000.4336,0.589,0.254,0.09899148357498527
b346_606_97564,264.0098351,-30.02820433,0.361323,OGLE-BLG-ECL-041029,ECL,NC,264.0098333333333,-30.028222222222222,17:36:02.36,-30:01:41.6,16.624,19.309,2.685,0.7226404,7000.702,0.355,0.167,0.06464693100191611
b346_606_7959,263.78979808,-30.00257914,0.727993,OGLE-BLG-ECL-037393,ECL,NC,263.7897916666667,-30.002583333333334,17:35:09.55,-30:00:09.3,18.16,21.067,2.907,1.4560338,7000.7238,0.475,0.389,0.02505314809020015
b346_606_96126,263.94721239,-30.10738455,0.39567,OGLE-BLG-ECL-040086,ECL,NC,263.9472083333333,-30.107388888888885,17:35:47.33,-30:06:26.6,14.636,16.033,1.397,0.3956701,7000.0318,0.646,0.512,0.020089685346589788
b346_606_77810,264.01077209,-29.95109849,0.724674,OGLE-BLG-RRLYR-22278,RRLyr,RRab,264.01075000000003,-29.95111111111111,17:36:02.58,-29:57:04.0,18.601,-99.99,-99.99,0.7246864,7000.04614,0.267,-99.99,0.0825357589968525
b346_606_23250,263.89051376,-29.9189723,0.478854,OGLE-BLG-RRLYR-21948,RRLyr,RRab,263.89050000000003,-29.918972222222223,17:35:33.72,-29:55:08.3,18.501,21.964,3.463,0.4788627,7000.39124,0.704,-99.99,0.042935331363187466
b346_606_89532,263.93922269,-30.09270986,0.458482,OGLE-BLG-ECL-039935,ECL,NC,263.9392083333333,-30.092722222222225,17:35:45.41,-30:05:33.8,19.159,-99.99,-99.99,0.4584838,7000.3407,0.874,0.316,0.06308950755190698
b346_606_51430,263.96056103,-29.9237376,0.647996,OGLE-BLG-ECL-040296,ECL,NC,263.9605416666667,-29.923749999999995,17:35:50.53,-29:55:25.5,17.877,20.778,2.901,0.648016,7000.531,0.867,0.165,0.07511810710410352
b346_606_20158,263.89104342,-29.90757715,3.114683,OGLE-BLG-ECL-039043,ECL,NC,263.89104166666664,-29.90758333333333,17:35:33.85,-29:54:27.3,18.835,-99.99,-99.99,6.2295352,7006.2157,0.847,0.159,0.022922569955442278
b346_606_89628,264.00272271,-30.00691039,0.415673,OGLE-BLG-RRLYR-22261,RRLyr,RRab,264.0027083333334,-30.006916666666662,17:36:00.65,-30:00:24.9,18.645,22.182,3.537,0.4156824,7000.14275,0.838,-99.99,0.0501927476932023
b346_606_46444,263.94363401,-29.92889983,0.303369,OGLE-BLG-ECL-040027,ECL,C,263.943625,-29.928888888888885,17:35:46.47,-29:55:44.0,19.362,-99.99,-99.99,0.3033662,7000.3029,0.615,0.582,0.048390237244816524
b346_606_79113,263.97041629,-30.0109347,4.118786,OGLE-BLG-ECL-040479,ECL,NC,263.970375,-30.010944444444444,17:35:52.89,-30:00:39.4,17.735,20.987,3.252,8.2397239,7005.5192,0.299,0.2,0.13341001314644488
b346_606_90303,263.92265134,-30.11819333,0.988093,OGLE-BLG-ECL-039607,ECL,NC,263.92266666666666,-30.11816666666666,17:35:41.44,-30:07:05.4,18.146,21.444,3.298,1.9762029,7001.7205,0.984,0.216,0.10719862289799344
b346_606_78653,263.95256832,-30.03336988,2.75429,OGLE-BLG-ECL-040186,ECL,NC,263.9525416666666,-30.03338888888889,17:35:48.61,-30:02:00.2,18.353,21.823,3.47,5.5076424,7000.6466,0.483,0.156,0.10762612015797055
b346_610_12321,264.02204608,-29.70468645,0.317176,OGLE-BLG-ECL-041212,ECL,C,264.0220416666666,-29.704694444444446,17:36:05.29,-29:42:16.9,15.904,17.539,1.635,0.3171774,7000.1716,0.614,0.529,0.031917599887304984
b346_610_47023,264.0796178,-29.75805442,0.550873,OGLE-BLG-RRLYR-22452,RRLyr,RRab,264.07958333333335,-29.758055555555554,17:36:19.10,-29:45:29.0,18.085,21.743,3.658,0.5508737,7000.0058,0.44,-99.99,0.10779499600504792
b346_610_68322,264.17958888,-29.70753064,0.505043,OGLE-BLG-RRLYR-22686,RRLyr,RRab,264.17958333333326,-29.70752777777778,17:36:43.10,-29:42:27.1,18.678,-99.99,-99.99,0.5050658,7000.217,0.621,-99.99,0.020173512027387815
b346_610_45093,264.09257744,-29.73309922,0.587451,OGLE-BLG-RRLYR-22481,RRLyr,RRab,264.0925833333334,-29.733111111111107,17:36:22.22,-29:43:59.2,18.581,22.228,3.647,0.5874628,7000.16226,0.359,-99.99,0.046603913781973656
b346_610_19223,264.04522271,-29.69889819,0.57501,OGLE-BLG-ECL-041655,ECL,NC,264.04520833333333,-29.698916666666662,17:36:10.85,-29:41:56.1,16.625,18.744,2.119,0.5749989,7000.247,0.173,0.107,0.08028414800397463
b346_610_36490,264.08492245,-29.70980479,0.574409,OGLE-BLG-RRLYR-22462,RRLyr,RRab,264.0849166666667,-29.709805555555555,17:36:20.38,-29:42:35.3,18.406,21.921,3.515,0.57441,7000.10234,0.426,-99.99,0.018291953918906697
b346_610_39813,264.14077108,-29.64691654,0.507274,OGLE-BLG-RRLYR-22600,RRLyr,RRab,264.14075,-29.646916666666666,17:36:33.78,-29:38:48.9,18.164,21.598,3.434,0.5072775,7000.20969,0.728,-99.99,0.06595509138769345
b346_610_73999,264.20496092,-29.69739087,0.370288,OGLE-BLG-ECL-044274,ECL,C,264.2049583333333,-29.69738888888889,17:36:49.19,-29:41:50.6,19.043,21.996,2.953,0.3702884,7000.0633,0.687,0.623,0.010784054985850526
b346_610_69844,264.20071075,-29.68525014,0.549134,OGLE-BLG-RRLYR-22745,RRLyr,RRab,264.20070833333335,-29.68525,17:36:48.17,-29:41:06.9,18.332,21.832,3.5,0.5491476,7000.09001,0.705,-99.99,0.007574988788432291
b346_610_27885,264.10585856,-29.64886838,0.414202,OGLE-BLG-ECL-042737,ECL,NC,264.1058333333334,-29.648888888888887,17:36:25.40,-29:38:56.0,19.811,-99.99,-99.99,0.8284123,7000.1597,1.152,0.46,0.10807607958587728
b346_610_13503,264.04222977,-29.68160813,0.672237,OGLE-BLG-ECL-041592,ECL,C,264.0422083333333,-29.681638888888884,17:36:10.13,-29:40:53.9,17.791,21.317,3.526,1.3445657,7000.7628,0.234,0.207,0.12944798562068396
b346_610_64845,264.11796043,-29.77707928,1.501006,OGLE-BLG-ECL-042959,ECL,NC,264.11795833333326,-29.777083333333337,17:36:28.31,-29:46:37.5,15.928,18.384,2.456,3.0022401,7000.188,2.075,0.16,0.015995225081295455
b346_610_65730,264.12135662,-29.77615565,0.588401,OGLE-BLG-RRLYR-22550,RRLyr,RRab,264.1213333333333,-29.77616666666667,17:36:29.12,-29:46:34.2,18.843,22.456,3.613,0.5883913,7000.21892,0.585,-99.99,0.08287033367806795
b346_612_6880,264.6156141,-29.90587852,0.404125,OGLE-BLG-ECL-051722,ECL,NC,264.615625,-29.90591666666667,17:38:27.75,-29:54:21.3,16.617,19.358,2.741,0.8082823,7000.7411,0.182,0.108,0.14147791635229717
b346_612_32502,264.65964146,-29.94728147,0.295189,OGLE-BLG-ECL-052546,ECL,NC,264.65962500000006,-29.947277777777778,17:38:38.31,-29:56:50.2,18.449,21.617,3.168,0.5903833,7000.4863,0.581,0.233,0.05303705252738531
b346_612_30766,264.61711131,-29.99879004,0.23891,OGLE-BLG-ECL-051750,ECL,C,264.61708333333337,-29.998805555555556,17:38:28.10,-29:59:55.7,17.484,19.649,2.165,0.2389109,7000.0675,0.763,0.725,0.10357539047068744
